City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Kalmunai,LK,80.89,overcast clouds,7.42,81.82,VS Villa
532,Kalakamati,BW,78.8,clear sky,-20.59,27.31,
533,Saint-Joseph,RE,78.8,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
537,Honiara,SB,76.89,light rain,-9.43,159.95,Heritage Park Hotel
538,El Real De Santa Maria,PA,88.39,overcast clouds,8.11,-77.73,
541,Pedernales,DO,82.17,scattered clouds,18.04,-71.74,Hotel Costa Marina
546,Tete,MZ,87.8,scattered clouds,-16.16,33.59,Zambeze Paraíso Misterioso
557,Sainte-Marie,RE,80.6,clear sky,-20.9,55.55,Les pailles en queue de Sainte Marie
558,Mecca,SA,77.43,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
560,Port Keats,AU,79.99,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
563,Banjar,ID,80.6,few clouds,-8.19,114.97,The Hamsa Resort
565,Poum,NC,78.06,overcast clouds,-20.23,164.02,Gîte kajeon
566,Karachi,PK,82.4,clear sky,24.91,67.08,Ali's Montessori School
568,Pochutla,MX,88.0,few clouds,15.74,-96.47,Hotel Posada San Jose
569,Vila Velha,BR,84.2,clear sky,-20.33,-40.29,Quality Suites Vila Velha
570,Khatra,IN,81.77,scattered clouds,22.98,86.85,Aranyak Resort Mukutmanipur
572,Padang,ID,77.0,moderate rain,-0.95,100.35,Mercure Padang
573,Quatre Cocos,MU,80.6,light rain,-20.21,57.76,Emeraude Beach Attitude Hotel
578,Mumford,GH,83.52,broken clouds,5.26,-0.76,Spanish Villa
579,Sao Miguel Do Araguaia,BR,89.15,few clouds,-13.28,-50.16,Hotel Executivo Palace
583,Gigmoto,PH,78.06,broken clouds,13.78,124.39,Cj's Travellers Inn
584,Vanimo,PG,78.06,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
586,Huandacareo,MX,77.0,clear sky,19.98,-101.28,Balneario Vista Bella
589,Nanchital,MX,87.8,clear sky,18.07,-94.4,Motel Villas de Coatza
596,Pacasmayo,PE,75.04,overcast clouds,-7.4,-79.57,Hotel Libertad
603,Nicoya,CR,86.0,clear sky,10.15,-85.45,Guayacan Real
612,Shirgaon,IN,82.38,clear sky,19.7,72.7,Samarth Krupa Agro Tourism Farm
613,Yarada,IN,81.25,clear sky,17.65,83.27,Jeevan
616,San Carlos,VE,88.11,overcast clouds,9.66,-68.58,Hotel Paternopoli
619,Sechura,PE,79.84,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
620,Soyo,AO,82.98,light rain,-6.13,12.37,Hotel Mpampa
624,Praya,CV,82.4,clear sky,14.92,-23.51,LT Aparthotel
626,Sterling,US,75.99,scattered clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
627,Kanigiri,IN,80.51,clear sky,15.4,79.52,Khasim kollafaram center
633,Chokwe,MZ,77.97,clear sky,-24.53,32.98,Complexo Sonho Real
635,Vaitape,PF,81.3,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
637,Kupang,ID,76.14,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
638,Namatanai,PG,76.12,light rain,-3.67,152.43,Namatanai Hotel
641,Monclova,MX,75.2,scattered clouds,26.9,-101.42,Hotel Royal Inn
643,Feijo,BR,82.94,overcast clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
644,Labuhan,ID,78.91,overcast clouds,-6.88,112.21,bador sepret
651,Chabahar,IR,78.96,clear sky,25.29,60.64,هتل گدروشیا
653,Ranong,TH,79.2,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
659,Rubiataba,BR,81.7,clear sky,-15.16,-49.8,Pousada dos anjos
660,Akyab,MM,80.51,clear sky,20.15,92.9,Hotel Memory
661,Parrita,CR,81.0,clear sky,9.52,-84.32,Beso del Viento
662,Xuddur,SO,89.29,overcast clouds,4.12,43.89,Banjanay Hotel
663,Coahuayana,MX,77.0,few clouds,18.73,-103.68,El rranchito michuacan de ocampos
664,New Amsterdam,GY,79.14,light rain,6.25,-57.52,Little Rock Suites
668,Puerto Colombia,CO,86.0,scattered clouds,10.99,-74.95,Hotel El Emigrante
669,Samarai,PG,79.5,broken clouds,-10.62,150.67,Nuli Sapi
673,Uga,NG,84.13,overcast clouds,5.94,7.08,Hotel De Sunroute Akokwa
674,Isangel,VU,78.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
678,Palpa,PE,85.87,overcast clouds,-14.53,-75.19,Palpa Lines
679,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
680,Miracema Do Tocantins,BR,86.27,overcast clouds,-9.56,-48.4,Miami Apart Hotel
681,Nuevitas,CU,87.8,few clouds,21.55,-77.26,Hotel Caonaba
682,Providencia,MX,80.01,overcast clouds,28.72,-111.58,
691,Jacqueville,CI,87.8,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
692,Oranjestad,AW,86.0,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
