City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Paul,RE,2021-04-09 17:04:34,-21.0096,55.2707,80.6,78,78,11.5
68,Rawson,AR,2021-04-09 17:04:34,-43.3002,-65.1023,57.74,65,63,13.22
69,Ribeira Grande,PT,2021-04-09 17:04:35,38.5167,-28.7,64.4,77,20,11.5
70,Gondanglegi,ID,2021-04-09 17:04:35,-7.7479,112.0132,75.63,91,59,2.57
71,Wajima,JP,2021-04-09 17:04:35,37.4,136.9,42.93,54,71,7.38
72,Avarua,CK,2021-04-09 17:04:35,-21.2078,-159.775,75.2,100,40,2.3
73,Kismayo,SO,2021-04-09 17:04:36,-0.3582,42.5454,81.73,77,25,9.31
74,Chuy,UY,2021-04-09 17:04:36,-33.6971,-53.4616,73.96,74,99,2.06
75,Kondopoga,RU,2021-04-09 17:04:37,62.2057,34.2614,41.0,56,85,20.13
76,Lamu,KE,2021-04-09 17:04:37,-2.2717,40.902,82.4,83,1,9.22
77,Luderitz,NA,2021-04-09 17:04:37,-26.6481,15.1594,73.18,58,1,10.16
78,Ambilobe,MG,2021-04-09 17:04:38,-13.2,49.05,74.08,95,36,2.84
79,Alice Springs,AU,2021-04-09 17:04:38,-23.7,133.8833,60.8,63,13,5.75
80,Drezdenko,PL,2021-04-09 17:04:38,52.8383,15.8308,54.0,41,100,5.99
81,Vila Franca Do Campo,PT,2021-04-09 17:04:38,37.7167,-25.4333,60.8,82,75,5.75
82,Port Alfred,ZA,2021-04-09 17:04:39,-33.5906,26.891,64.69,85,20,2.55
83,Ivnya,RU,2021-04-09 17:04:39,51.0629,36.1343,44.6,45,20,2.24
84,Pingyi,CN,2021-04-09 17:04:39,35.5006,117.6308,55.08,48,100,6.42
85,Lengshuitan,CN,2021-04-09 17:04:40,26.4111,111.5956,59.43,90,97,3.09
86,Sorong,ID,2021-04-09 17:04:39,-0.8833,131.25,79.25,81,99,1.88
87,Olinda,BR,2021-04-09 17:04:40,-8.0089,-34.8553,86.0,58,40,18.41
88,Mogadishu,SO,2021-04-09 17:00:39,2.0371,45.3438,82.81,74,10,10.25
