City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Twin Falls,US,42.35,-114.64,35.6,38,1,18.41,clear sky
84,Kapaa,US,22.08,-159.32,66.2,82,90,6.91,overcast clouds
85,Norman Wells,CA,65.28,-126.83,-13.0,77,1,5.75,clear sky
86,Thinadhoo,MV,0.53,72.93,83.57,67,40,10.11,scattered clouds
87,Victoria,HK,22.29,114.16,73.99,83,29,1.01,scattered clouds
88,Teguldet,RU,57.31,88.17,34.93,99,100,4.03,overcast clouds
89,Nantucket,US,41.28,-70.10,53.6,82,90,20.71,overcast clouds
90,Saldanha,ZA,-33.01,17.94,71.6,60,99,12.66,overcast clouds
91,Marrakesh,MA,31.63,-8.01,80.6,29,40,5.75,scattered clouds
92,Toora-Khem,RU,52.47,96.11,26.55,83,83,1.9,broken clouds
93,Tasiilaq,GL,65.61,-37.64,30.2,74,0,8.05,clear sky
94,Tuktoyaktuk,CA,69.45,-133.04,-16.6,69,1,5.75,clear sky
95,Gejiu,CN,23.31,103.16,53.33,94,62,5.08,broken clouds
96,South Hill,US,47.14,-122.27,45.0,61,1,4.21,clear sky
97,Manokwari,ID,-0.87,134.08,78.51,81,100,7.99,overcast clouds
98,Kasongo-Lunda,CD,-6.47,16.82,73.47,94,89,1.1,light rain
99,Galle,LK,6.04,80.22,80.67,74,60,0.54,broken clouds
100,San Andres,CO,12.58,-81.70,86.0,74,40,9.22,scattered clouds
101,Geraldton,AU,-28.77,114.60,75.2,94,90,20.71,overcast clouds
102,Pitimbu,BR,-7.47,-34.81,75.2,100,75,2.3,heavy intensity rain
103,Jalu,LY,29.03,21.55,69.75,16,2,9.75,clear sky
104,Machali,CL,-34.18,-70.67,68.0,32,0,8.05,clear sky
105,Kloulklubed,PW,7.04,134.26,78.8,89,90,3.44,moderate rain
106,Luderitz,NA,-26.65,15.16,74.52,51,0,7.14,clear sky
107,Hulin,CZ,49.32,17.46,61.0,41,86,20.0,overcast clouds
108,Olafsvik,IS,64.89,-23.71,36.52,98,100,17.6,light rain
109,Klaksvik,FO,62.23,-6.59,37.4,75,89,2.3,overcast clouds
110,Tiksi,RU,71.69,128.87,-2.63,80,95,6.78,overcast clouds
111,Salvador,SV,13.83,-88.92,87.8,57,20,3.44,few clouds
112,Sabha,LY,27.04,14.43,86.54,10,55,15.23,broken clouds
113,Qaanaaq,GL,77.48,-69.36,21.9,93,100,11.59,light snow
114,Bredasdorp,ZA,-34.53,20.04,68.0,77,100,4.61,overcast clouds
115,Chokurdakh,RU,70.63,147.92,-19.89,99,50,7.96,scattered clouds
116,Ust-Barguzin,RU,53.45,108.98,17.62,72,1,1.25,clear sky
117,Kachiry,KZ,53.07,76.10,32.2,93,33,6.02,scattered clouds
118,Pevek,RU,69.70,170.31,-26.52,99,77,2.77,broken clouds
119,Saumur,FR,47.33,-0.25,43.0,81,90,6.91,light rain
120,Laguna,US,38.42,-121.42,63.0,67,1,5.01,clear sky
121,Srednekolymsk,RU,67.45,153.68,-31.59,100,94,1.07,overcast clouds
122,Dudinka,RU,69.41,86.18,27.95,92,100,17.09,overcast clouds
123,Sola,VU,-13.88,167.55,79.84,76,100,1.07,overcast clouds
124,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,20,5.75,few clouds
125,Deputatskiy,RU,69.30,139.90,-22.54,99,81,2.95,broken clouds
126,Airai,TL,-8.93,125.41,57.94,88,72,1.63,broken clouds
127,Verkhoyansk,RU,67.54,133.38,-21.03,100,42,2.3,scattered clouds
128,Saint-Francois,FR,46.42,3.91,44.6,87,90,14.97,overcast clouds
129,Chernyshevskiy,RU,63.01,112.47,-10.23,99,5,2.37,clear sky
130,Raub,MY,3.79,101.86,73.4,96,89,0.56,overcast clouds
131,Portland,US,45.52,-122.68,44.01,70,1,3.44,clear sky
132,Waipawa,NZ,-41.41,175.52,63.0,88,75,12.66,broken clouds
133,Bayir,TR,37.27,28.22,59.0,25,0,11.5,clear sky
134,Rabat,MA,33.99,-6.84,68.0,68,40,10.36,scattered clouds
135,Goderich,CA,43.75,-81.72,59.0,77,100,8.05,overcast clouds
136,Arraial Do Cabo,BR,-22.97,-42.03,89.6,35,0,4.61,clear sky
137,Khatanga,RU,71.97,102.50,20.98,88,91,14.47,overcast clouds
138,Gorontalo,ID,0.54,123.06,75.76,93,100,2.86,overcast clouds
139,Hasaki,JP,35.73,140.83,46.4,81,20,3.44,few clouds
140,Mariental,NA,-24.63,17.97,82.38,20,0,9.57,clear sky
141,Naze,JP,28.37,129.48,64.98,73,19,19.75,few clouds
142,Chimbote,PE,-9.09,-78.58,74.17,72,100,9.17,overcast clouds
143,Lagoa,PT,39.05,-27.98,62.82,84,85,8.48,overcast clouds
144,Nalut,LY,30.33,10.85,88.14,10,100,13.2,overcast clouds
145,Batagay-Alyta,RU,67.80,130.41,-17.99,79,1,6.44,clear sky
146,Korla,CN,41.76,86.15,59.45,36,2,10.87,clear sky
147,Punta Arenas,CL,-53.15,-70.92,53.6,54,0,16.11,clear sky
148,Vaini,TO,-21.20,-175.20,66.2,100,20,2.3,few clouds
149,Faanui,PF,-16.48,-151.75,81.3,76,100,11.36,overcast clouds
150,Longford,IE,53.73,-7.80,41.25,78,99,7.99,overcast clouds
151,Racale,IT,39.96,18.09,59.0,88,20,6.91,few clouds
152,The Valley,AI,18.22,-63.06,84.2,54,20,12.66,few clouds
153,Shelburne,CA,44.08,-80.20,57.0,96,100,9.95,light rain
154,Barrow,US,71.29,-156.79,-20.2,83,1,6.91,haze
155,Itacurubi Del Rosario,PY,-24.50,-56.68,88.61,46,32,6.29,scattered clouds
156,Tiznit,MA,29.58,-9.50,66.24,52,71,9.44,broken clouds
157,College,US,64.86,-147.80,7.0,65,90,6.91,overcast clouds
158,Noumea,NC,-22.28,166.46,79.0,100,90,2.3,overcast clouds
159,Mehamn,NO,71.04,27.85,33.8,80,75,26.46,snow
160,Peleduy,RU,59.63,112.74,-7.04,99,22,2.33,few clouds
161,Tsiroanomandidy,MG,-18.77,46.03,70.39,77,100,2.28,overcast clouds
162,Salalah,OM,17.02,54.09,82.4,74,20,6.91,few clouds
163,Sept-Iles,CA,50.20,-66.38,57.2,51,90,9.22,overcast clouds
164,Podyuga,RU,61.09,40.86,35.46,80,2,8.39,clear sky
165,Korampallam,IN,8.77,78.10,84.27,64,4,8.05,clear sky
166,Weligama,LK,5.97,80.42,79.68,77,58,0.38,broken clouds
167,Vestmannaeyjar,IS,63.44,-20.27,39.2,65,90,26.46,overcast clouds
168,Avarua,CK,-21.21,-159.78,75.2,100,40,1.14,light rain
169,Mabaruma,GY,8.20,-59.78,82.78,77,98,5.08,overcast clouds
170,Odweyne,SO,9.41,45.06,81.34,27,42,7.23,scattered clouds
171,Lalmohan,BD,22.34,90.74,81.34,75,20,12.66,few clouds
172,Trat,TH,12.50,102.50,78.01,99,83,1.59,broken clouds
173,Enugu,NG,6.44,7.49,95.0,49,75,8.05,broken clouds
174,Sur,OM,22.57,59.53,83.19,59,0,8.63,clear sky
175,Shingu,JP,33.73,135.98,51.85,85,50,5.88,scattered clouds
176,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,48,20,5.75,few clouds
177,Dikson,RU,73.51,80.55,30.04,91,100,26.11,light snow
178,Ahipara,NZ,-35.17,173.17,62.49,91,3,2.8,clear sky
179,Gushikawa,JP,26.35,127.87,69.8,73,1,11.5,clear sky
180,Broome,US,42.25,-75.83,60.01,94,90,11.5,mist
181,Codrington,AU,-38.27,141.97,54.91,74,100,11.27,overcast clouds
182,Bilibino,RU,68.05,166.44,-24.88,95,24,4.92,few clouds
183,Sobolevo,RU,54.43,31.90,50.13,64,2,7.52,clear sky
184,Cayenne,GF,4.93,-52.33,87.8,70,0,9.22,clear sky
185,Auki,SB,-8.77,160.70,76.98,87,88,3.4,overcast clouds
186,Luanda,AO,-8.84,13.23,84.2,65,40,11.5,light rain
187,Dingli,MT,35.86,14.38,61.0,82,75,17.27,broken clouds
188,Jishou,CN,28.32,109.72,57.56,99,100,0.74,light rain
189,Pacific Grove,US,36.62,-121.92,53.01,76,90,5.75,overcast clouds
190,Nome,US,64.50,-165.41,21.2,86,90,25.32,light snow
191,Kamennomostskoye,RU,43.74,43.05,48.2,76,90,4.47,overcast clouds
192,Kyaukse,MM,21.60,96.13,86.0,58,20,6.89,few clouds
193,Bud,US,39.45,-86.18,50.0,96,100,1.01,overcast clouds
194,Yumen,CN,40.28,97.20,48.99,39,62,15.59,broken clouds
195,Ossora,RU,59.24,163.07,4.21,78,1,10.13,clear sky
196,Nago,JP,26.59,127.98,69.8,73,1,11.5,clear sky
197,Northam,GB,51.03,-4.22,46.99,59,9,4.0,clear sky
198,Nanortalik,GL,60.14,-45.24,38.71,66,1,6.73,clear sky
